Year,Period,Crude Oil Price,Production,Crude Oil Export,Exchange Rate,Government Expenditure,CPI,GDP,Inflation Rate,Interest Rate,Unemployment Rate
2010,Q1,80.27,2.44,1.99,148.67,4194.6,104.9,12790.38,14.8,6,19.7
2010,Q2,75.79,2.21,1.76,149.35,4194.6,108.8,13141.5,14.1,6,19.7
2010,Q3,79.45,2.48,2.03,148,4194.6,112.4,13621.79,13.6,6.25,19.7
2010,Q4,92.79,2.58,2.13,147.8,4194.6,114.2,13917.31,11.8,6.25,19.7
2011,Q1,116.56,2.29,1.84,156.2,4712.1,118.3,14105.66,12.8,7.5,5.1
2011,Q2,117.03,2.34,1.89,154.1,4712.1,119.9,14504.45,10.2,8,5.1
2011,Q3,115.73,2.32,1.87,151.29,4712.1,124.0,14516.59,10.3,9.25,5.1
2011,Q4,111.46,2.27,1.82,151.02,4712.1,126.0,14715.33,10.3,12,5.1
2012,Q1,128,2.34,1.89,155.27,4605.3,132.6,15007.59,12.1,12,6
2012,Q2,98.06,2.37,1.92,155.28,4605.3,135.3,15020.88,12.9,12,6
2012,Q3,114.36,2.45,2,155.44,4605.3,138.0,15262.31,11.3,12,6
2012,Q4,114.49,2.21,1.76,155.4,4605.3,141.1,15601.05,12,12,6
2013,Q1,112.79,2.2,1.75,155.2,5185.3,144.0,15633.66,8.6,12,10.6
2013,Q2,106.06,2.03,1.58,155.25,5185.3,146.6,15826,8.4,12,10.6
2013,Q3,113.59,2.29,1.84,155.25,5185.3,148.9,15919.66,8,12,10.6
2013,Q4,112.75,2.11,1.66,155.24,5185.3,152.3,16044.51,8,12,10.6
2014,Q1,109.47,2.21,1.76,167.5,4587.4,155.2,16087.23,7.8,12,7.8
2014,Q2,114.6,2.16,1.71,155.25,4587.4,158.6,16203.8,8.2,12,7.4
2014,Q3,98.27,2.1,1.65,155.23,4587.4,161.3,16233.94,8.3,12,9.7
2014,Q4,63.28,2.23,1.78,155.24,4587.4,164.4,16234.95,8,13,6.4
2015,Q1,56.69,2.07,1.62,196.5,4988.9,168.4,16249.37,8.5,13,7.5
2015,Q2,62.06,1.97,1.52,196.45,4988.9,173.2,16349.29,9.2,13,8.2
2015,Q3,48.08,2.22,1.77,196.45,4988.9,176.5,16477.42,9.4,13,9.9
2015,Q4,37.8,2.08,1.63,196.5,4988.9,180.1,16569.73,9.55,11,10.4
2016,Q1,37.76,1.92,1.47,304.5,5858.6,189.9,16623.05,12.77,12,12.1
2016,Q2,48.46,1.77,1.32,304.75,5858.6,201.7,16646.8,16.48,12,13.3
2016,Q3,47.43,1.75,1.3,282.5,5858.6,208.0,16718.63,17.85,14,13.9
2016,Q4,53.48,1.58,1.13,196.5,5858.6,213.6,16893.27,18.55,14,14.2
2017,Q1,52.13,1.6,1.15,305.5,6456.7,222.7,16904.24,17.26,14,14.4
2017,Q2,47.42,1.95,1.5,305.25,6456.7,234.2,16962.51,16.1,14,16.2
2017,Q3,56.79,1.93,1.48,305.4,6456.7,241.2,17076.1,15.98,14,18.8
2017,Q4,65.11,1.96,1.51,305.85,6456.7,246.4,17318.41,15.37,14,20.4
2018,Q1,74.72,1.94,1.49,306.5,7813.7,252.4,17478.22,13.34,14,21.8
2018,Q2,75.38,1.78,1.33,305.85,7813.7,260.5,17573.27,11.23,14,22.7
2018,Q3,79.59,1.96,1.51,305.25,7813.7,268.4,17707.53,11.28,14,23.1
2018,Q4,62,1.9,1.45,305.15,7813.7,274.6,17775.97,11.44,14,23.1
2019,Q1,67.67,2.02,1.57,306.5,7914.6,280.8,17988.95,11.25,13.5,23.1
2019,Q2,66.74,2.09,1.64,306.5,7914.6,289.7,18109.6,11.22,13.5,23.1
2019,Q3,65.27,2.07,1.62,306.4,7914.6,298.6,18208.48,11.24,13.5,23.1
2019,Q4,68.56,1.96,1.51,306.45,7914.6,307.5,18305.13,11.98,13.5,23.1
2020,Q1,32.29,2.04,1.59,379.5,10231.7,315.2,18419.51,12.26,13.5,23.1
2020,Q2,40.3,1.69,1.24,379.5,10231.7,326.1,18439.94,12.56,12.5,27.1
2020,Q3,40.85,1.54,1.09,360.5,10231.7,339.5,18697.32,13.71,11.5,27.1
2020,Q4,50.33,1.42,0.97,360.5,10231.7,355.9,18745.36,15.75,11.5,33.3
2021,Q1,65.62,1.43,0.98,412.99,12164.1,372.5,18819.66,18.17,11.5,33.3
2021,Q2,73.46,1.31,0.86,410.3,12164.1,384.0,18845.92,17.75,11.5,33.3
2021,Q3,74.55,1.25,0.8,409.66,12164.1,396.0,19277.64,16.63,11.5,33.3
2021,Q4,65.41,1.2,0.75,379.5,12164.1,411.5,19294.01,15.63,11.5,35
2022,Q1,121.23,1.24,0.79,448.55,12760.61,431.8,19750.93,15.92,11.5,35
2022,Q2,130.1,1.16,0.71,432.37,12454.14,455.4,19753.16,18.6,13,35
2022,Q3,93.25,0.94,0.49,414.72,12794.65,478.2,20670.11,20.77,15.5,35
2022,Q4,82.5,1.24,0.79,415.75,12268.12,499.4,21423.44,21.34,16.5,35