tyear,Period,Agriculture,CropProduction,Livestock,Forestry,Fishing,Industry,MiningAndQuarrying,CrudePetroleumAndNaturalGas,CoalMining,MetalOres,QuarryingAndOtherMinerals,Manufacturing,OilRefining,Cement,FoodBeverageAndTobacco,TextileApparelAndFootwear,WoodAndWoodProducts,PulpPaperAndPaperProducts,ChemicalAndPharmaceuticalProducts,NonMetallicProducts,PlasticAndRubberProducts,ElectricalAndElectronics,BasicMetalIronAndSteel,MotorVehiclesAndAssembly,OtherManufacturing,ElectricityGasSteamAndAirCon,WaterSupplySewageWaste,Construction,Services,Trade,AccommodationAndFoodServices,TransportationAndStorage,RoadTransport,RailTransportAndPipelines,WaterTransport,AirTransport,TransportServices,PostAndCourierServices,InformationAndCommunication,Publishing,MotionPicturesSoundRecordingAndMusicProduction,Broadcasting,ArtsEntertainmentAndRecreation,FinanceAndInsurance,FinancialInstitutions,Insurance,RealEstate,ProfessionalScientificAndTechnicalServices,AdministrativeAndSupportServicesBusinessServices,PublicAdministration,Education,HumanHealthAndSocialServices,OtherServices,GDP at 2010 Constant Basic Prices,NetTaxesOnProducts,GDP at 2010 Constant Market Prices
2010,Q1,2594.76,2262.18,237.3,30.42,64.86,3284.29,1952.21,1937.63,1.11,0.81,12.65,875.41,63.52,54.47,565.18,80.3,30.76,5.98,6.25,14.95,8.39,0.62,10.99,5.26,28.73,44.52,10.77,401.38,6704.43,2191.34,63.14,144.85,129.03,0.02,0.83,7.22,3.98,3.77,1448.81,2.16,124.07,150.1,7.61,489.15,428.15,61,888.23,406.16,3.2,497.14,205.69,85.6,273.51,12583.48,206.9,12790.38
2010,Q2,2873.38,2561.46,216.1,34.38,61.43,3314.21,1993.68,1983.89,0.86,0.66,8.26,880.64,63.47,54.9,568.09,81.38,30.95,6.05,6.27,15.08,8.42,0.62,11.03,5.42,28.97,40.13,11.21,388.55,6746.94,2234.2,52.91,176.51,158.93,0.03,1.12,7.77,5.08,3.57,1432.94,1.71,108.98,118.14,6.03,481,412.56,68.44,972.28,425.06,3.42,479.66,212.77,81.77,188.39,12934.53,206.97,13141.5
2010,Q3,4000.03,3660.1,247.97,33.75,58.21,3422.53,2104.92,2092.03,0.4,0.55,11.94,892.15,63.62,55.56,574.13,87.4,29.92,6.18,6.31,13.97,8.48,0.63,11.1,5.79,29.06,44.53,11.75,369.19,6881.88,2230.76,65.72,177.67,157.5,0.02,1.29,8.71,6.29,3.86,1489.95,2.26,125.34,118.85,7.96,453.04,390.91,62.13,1062.7,438.72,3.31,471.73,203.3,79.49,197.53,14304.44,212.15,14516.59
2010,Q4,3580.73,3200.16,278.19,37.17,65.21,3805.4,2403.74,2389.12,0.84,0.33,13.45,930.45,64.55,56.15,591.13,103.46,31.75,6.15,6.34,15.55,8.58,0.64,11.35,5.42,29.39,50.29,9.07,411.85,7403.69,2336.35,64,195.74,173.68,0.04,0.98,8.97,7.3,4.78,1583.36,2.65,120.8,148.01,9.34,485.62,417.12,68.51,1204.78,441.75,3.2,549.93,204.91,84.11,240.59,14789.82,231.06,15020.88
2011,Q1,2653.86,2312.36,240.59,30.16,70.76,3878.28,2423.14,2406.68,1.3,0.9,14.26,958.33,67.94,53.31,583.94,100.4,30.5,6.53,6.94,22.87,17.88,1,23.36,6.23,37.44,62.75,10.86,423.2,6918.57,2336.15,64.46,153.36,132.89,0.02,0.65,11.91,4.09,3.81,1420.19,2.57,117.09,159.63,18.34,342.27,280.88,61.38,902.31,464.33,3.43,596.12,237.24,98.08,282.29,13450.72,171.08,13621.79
2011,Q2,2955.29,2624.44,224.92,37.66,68.27,3708.68,2205.66,2193.57,1.06,0.81,10.21,1035.17,67.81,58.5,609.68,136.58,31.88,6.9,10.21,23.95,18.68,1.08,24.45,6.6,38.84,58.57,12.36,396.93,7093.76,2389.49,53.17,182.38,160.45,0.03,0.96,10.81,6.1,4.03,1522.29,2.08,122.73,134.82,20.46,368.76,298.34,70.42,984.56,481.39,3.41,559.72,226.86,99.75,201.51,13757.73,159.58,13917.31
2011,Q3,4130.57,3783.27,249.86,35.77,61.67,3610.81,2036.65,2022.2,0.49,0.62,13.34,1092.26,67.65,62.2,624.73,160.94,34.07,7.46,10.39,26.71,19.54,1.2,26.05,6.73,44.58,60.24,11.86,409.8,7078.24,2394.39,70.6,192.58,165.44,0.03,1.23,14.18,7.83,3.87,1417.25,3.53,121.89,128.6,18.84,330.11,267.13,62.98,1043.02,517.33,3.52,537.21,269.74,86.72,196.93,14819.62,187.97,15007.59
2011,Q4,3689.65,3297.13,284.04,38.86,69.62,3788.85,1992.61,1976.19,1.03,0.37,15.03,1130.43,67.59,64.2,648.17,173.93,33.82,7.62,11.4,25.51,20.02,1.29,29.17,6.73,41.01,68.83,9.08,587.9,8004.47,2520.87,80.18,207.93,178.23,0.05,0.98,14.99,8.95,4.74,1723.32,3.93,119.85,173.9,19.18,353.55,283.2,70.35,1215.97,568.42,3.46,614.33,353.83,89.57,253.86,15482.97,150.68,15633.66
2012,Q1,2805.8,2463.38,235.76,31.43,75.23,3956.63,2225.13,2207.3,1.44,0.92,15.47,1179.1,55.64,65.49,630.28,207.27,39.86,8.03,10.03,29.48,26.02,1.11,31.09,9.47,65.32,77.74,10.6,464.06,7153.08,2372.08,76.81,149.02,126.45,0.02,0.61,12.58,5.21,4.15,1483.62,3.33,125.31,159.96,24.92,438.29,384.33,53.97,939.11,501.46,3.06,431.9,242.69,102.5,387.61,13915.51,190.16,14105.66
2012,Q2,3160.09,2824.15,224.07,38.1,73.77,3797.66,1985.41,1970.22,1.33,0.92,12.94,1169.05,56.29,67.89,639.31,199.84,38.73,7.45,15.76,27.12,26.71,1.14,30.93,8.83,49.04,75.55,13.37,554.28,7365.3,2429.74,58.6,177.25,152.28,0.05,1.13,11.13,8.27,4.39,1609.9,3.35,132.27,143.44,26.31,444.55,380.63,63.91,1029.07,503.7,3.44,463.26,231.09,102.05,286.33,14323.05,181.4,14504.45
2012,Q3,4307.97,3972.24,234.4,36.46,64.87,4016.87,2238.67,2221.02,0.57,0.65,16.42,1245.86,55.64,68.38,713.26,201.73,39.82,7.42,15.08,28.78,26.87,1.14,31.11,8.61,48.03,62.09,12.4,457.86,7320.59,2453.21,82.63,185.06,155.17,0.03,1.18,14.65,9.86,4.17,1442.73,2.9,113.92,124.38,22.66,392.16,339.99,52.17,1109.84,569.87,3.48,436.98,274.6,90.3,257.07,15645.43,180.56,15826
2012,Q4,4055.84,3659.77,278.53,40.1,77.44,3579.29,1795.18,1774.72,1.23,0.4,18.84,1189.65,55.94,68.59,645.45,206.44,38.93,7.45,21.04,26.69,26.83,1.14,31.36,8.41,51.39,71.6,9.61,513.26,8410.77,2598.65,92.92,199.74,167.95,0.05,0.83,15.75,10.05,5.12,1732.26,3.05,120.4,159.65,23.95,412.91,356.76,56.15,1301.91,615.04,3.39,506.6,357.52,95.44,470.46,16045.9,188.04,16233.94
2013,Q1,2874.85,2507.23,250.84,34.44,82.34,4028.51,1975.89,1955.77,1.72,1.02,17.38,1428.43,87.22,89.83,708.14,279.29,42.1,10.99,19.28,36.61,33.7,1.13,34.36,11.04,74.73,77.33,14.72,532.14,7632.07,2520.21,126.76,155.64,131.82,0.02,0.61,13.02,5.73,4.46,1574.54,3.6,154.52,195.05,28.44,475.57,418.27,57.3,1020.11,508.25,3.19,416.46,286.85,106.63,409.41,14535.42,179.91,14715.33
2013,Q2,3241.18,2881.45,239.58,39.18,80.96,3831.45,1664.98,1646.66,1.63,1.11,15.58,1433.79,86.33,92.92,722.94,268.43,42.31,10.78,24.12,36.19,34.54,1.17,34.39,11.08,68.58,84.36,19.97,628.36,8024.14,2565.52,101.61,183.61,155.2,0.05,1.16,12.18,9.93,5.08,1758.52,3.85,165.08,188.2,30.39,483.74,414.15,69.59,1192.29,519.52,3.54,464.79,256.1,112.14,352.37,15096.76,165.55,15262.31
2013,Q3,4456.11,4102.29,246.42,37.63,69.77,4012.72,1914.65,1894.18,0.68,0.75,19.04,1481.92,85.13,96.48,758.93,271.1,43.2,11.1,24.54,37.37,35.04,1.21,35.29,11.31,71.22,77.07,18.11,520.97,7985.54,2618.69,143.86,191.7,158.25,0.03,1.28,15.88,11.7,4.56,1545.84,3.3,141.65,154.9,26.07,429.15,374.26,54.89,1258.41,590.17,3.48,436.43,334.79,102.44,304.49,16454.37,192.42,16646.8
2013,Q4,4178.39,3756.82,294.1,43.06,84.41,3809.78,1632.63,1608.67,1.47,0.45,22.04,1482.23,86.03,97.2,748.58,277.57,43.7,11.15,24.69,38.04,35.24,1.24,37.07,10.98,70.72,90,14.01,590.91,9143.99,2803.48,168.4,207.12,170.86,0.06,0.87,18.06,11.78,5.5,1904.17,3.49,149.63,199.17,27.54,445.18,385.45,59.73,1433.83,647.17,3.51,511.16,400.67,106.5,485.25,17132.16,186.24,17318.41
2014,Q1,3033.97,2643.11,264.91,36.69,89.25,4223.47,1849.63,1826.67,2,1.13,19.84,1648.57,73.94,117.34,748.29,375.61,46.84,11.88,27.31,49.68,43.93,1.2,38.78,14.41,99.36,80.22,17.75,627.29,8181.24,2678.51,156.26,160.21,135.02,0.02,0.67,13.57,6.06,4.87,1681.21,3.99,184.08,217,32.85,517.77,457.46,60.31,1052.42,538.01,3.14,445.39,307.2,109,499.26,15438.68,162.37,15601.05
2014,Q2,3360.45,2983.93,250.46,41.16,84.91,4175,1753.53,1731.38,1.95,1.32,18.88,1634.73,80.5,119.05,760.29,346.81,48.03,12.31,33.41,48.75,44.46,1.22,39.52,13.69,86.68,67.01,24.17,695.57,8549.17,2697.76,125.86,190.84,160.47,0.06,1.24,12.58,10.97,5.53,1898.29,4.31,198.64,207.72,34.48,517.58,442.6,74.98,1251.3,553.52,3.54,470.24,274.9,119.84,411.03,16084.62,164.74,16249.37
2014,Q3,4655.32,4281.85,260.49,38.52,74.46,4230.77,1848.97,1826.08,0.82,0.89,21.17,1718.99,92.55,123.58,808.19,353.01,48.67,12.91,34.24,51.25,45.93,1.32,41.04,14.02,92.28,60.45,22.46,579.91,8593.04,2796.9,169.95,199.76,164.18,0.03,1.38,16.14,13.13,4.89,1674.17,3.65,171.47,175.24,30.02,465.89,406.65,59.23,1332.69,631.1,3.66,441.97,364.18,119.12,363.62,17479.13,228.41,17707.53
2014,Q4,4330.65,3884.56,310.98,44.97,90.13,4112.92,1654.9,1627.68,1.81,0.54,24.86,1681.93,64.39,128.31,787.23,362.91,49.53,13.14,32.82,49.29,46.05,1.32,43.77,13.64,89.52,92.53,17.86,665.7,9706.8,2952.62,187.64,219.88,179.63,0.06,0.97,18.57,14.54,6.1,2003.39,4.1,181.57,227.41,31.84,481.43,417.07,64.37,1519.31,667.81,3.63,517.34,445.68,124.67,551.54,18150.36,269.15,18419.51
2015,Q1,3176.6,2760.88,281.97,38.28,95.47,4116.74,1703.41,1677.85,2.29,1.22,22.04,1637.07,34.12,144.57,742.15,355.96,50.63,12.69,34.29,58.55,53.92,1.23,40.51,14.73,93.73,57.82,21.07,697.37,8757.27,2851.77,197.92,166.4,139.38,0.02,0.73,14.42,6.52,5.33,1840.8,4.51,219.23,272.57,38.82,564.4,501,63.39,1084.79,575.22,3.31,389.6,328.51,111.3,604.42,16050.6,153.2,16203.8
2015,Q2,3477.85,3079.45,265.99,42.81,89.61,4036.7,1637.48,1613.75,2.14,1.41,20.18,1572.34,28.55,146.13,715.46,335.8,50.72,13.14,38.83,55.12,52.01,1.22,40.58,13.63,81.13,59.23,27.45,740.2,8948.8,2834.61,114.57,200.08,168.4,0.06,1.34,12.98,11.51,5.78,2017.15,4.73,195.48,260.01,36.65,550.73,471.97,78.76,1288.49,586.85,3.65,420.19,294.87,122.7,478.25,16463.34,159.71,16623.05
2015,Q3,4816.52,4423.69,274.83,39.38,78.62,4225.39,1869.88,1845.39,0.9,0.95,22.64,1688.87,81.93,149.8,736.52,358.24,51.44,13.79,39.42,58.03,53.4,1.32,42.21,12.45,90.31,61.74,25.6,579.3,8934.32,2920.1,160.75,209.45,172.37,0.04,1.49,16.65,13.79,5.12,1762.35,4.01,171,201.49,31.94,496.47,434.19,62.29,1360.1,665.08,3.77,385.49,393.44,122.1,423.28,17976.23,232.24,18208.48
2015,Q4,4481.26,4010.93,328.53,46.79,95.01,3987.83,1521.74,1492.97,1.95,0.58,26.24,1688.34,56.29,155.67,742.93,373.01,52.42,14.05,38.45,55.53,53.29,1.36,44.89,11.87,88.57,93.64,20.76,663.35,10064.67,3091.1,180.98,229.52,187.67,0.06,1.05,19.07,15.28,6.38,2087.81,4.45,179.93,257.61,33.92,512.29,444.67,67.63,1531.31,688.92,3.75,449.5,481.89,128.23,645.43,18533.75,211.61,18745.36
2016,Q1,3274.73,2844.12,292.86,39.16,98.58,3841.54,1603.9,1597.16,2.36,1.92,2.45,1522.49,26.41,138.28,659.62,345.42,50.45,12.49,36.31,61.78,56.51,0.97,40.08,11.9,82.27,32.11,23.09,659.95,8827.45,2909.26,183.25,190.91,162.96,0.02,0.76,14.73,6.67,5.78,1915.71,4.71,208,291.26,42.08,500.72,435.07,65.65,1033.87,569.88,3.29,372.47,341.07,111.91,653.02,15943.71,143.52,16087.23
2016,Q2,3635.53,3224.83,282.79,44.45,83.47,3746.44,1450.44,1426.08,2.19,1.47,20.69,1519.45,42.59,138.12,675.88,330.07,47.71,12.33,39.74,56.73,53.63,1.19,41.34,9.63,70.48,53.03,29.78,693.74,8836.57,2833.63,107.24,189.4,162.14,0.06,1.35,12.65,11.34,1.86,2044.48,4.84,183.74,275.75,37.31,491.16,409.47,81.69,1220.53,593.11,3.5,394.45,303.37,119.46,498.94,16218.54,130.75,16349.29
2016,Q3,5035.07,4639.61,276.91,40.2,78.35,3690.49,1446.35,1420.27,0.83,1.01,24.25,1614.89,81.23,140.42,694.14,354.98,48.2,13.19,38.82,59.78,55.1,1.27,42.62,8.31,76.84,57.62,27.82,543.81,8829.88,2879.66,152.91,210.97,174.54,0.04,1.51,16.13,13.7,5.06,1781.89,4.11,164.69,214.12,32.58,509.6,446.55,63.05,1259.87,674.36,3.77,371.73,393.01,119.28,440.26,17555.44,220.53,17775.97
2016,Q4,4662.01,4185.89,332.56,47.83,95.73,3639.68,1259.13,1228.69,1.96,0.62,27.85,1645.4,55.74,147.39,723.26,377.04,50.57,13.41,37.92,56.2,55.03,1.29,45.35,7.56,74.64,88.81,22.99,623.35,9911.85,3046.5,176.02,217.31,179.67,0.06,1.06,16.54,14.88,5.09,2116.63,4.47,177.99,271.35,34.61,526.03,457.67,68.37,1389.34,698.94,3.82,430.86,481.48,125.04,665.26,18213.54,226.4,18439.94
2017,Q1,3385.6,2943.53,297.9,40.18,103.99,3617.46,1356.85,1347.99,2.41,2.7,3.74,1543.19,27.21,140.82,686.44,349.45,51.7,12.65,35.98,61.33,55.5,0.84,39.77,7.5,74.01,30.5,26.01,660.92,8794.91,2819.56,176,211.05,183.09,0.02,0.77,14.96,6.4,5.81,1968.09,4.76,214.14,296.62,46.99,504.07,437.68,66.39,1001.77,578.3,3.33,364.77,344.01,113.1,663.88,15797.97,121.69,15919.66
2017,Q2,3745.09,3328.49,289.23,46.18,81.2,3827.76,1501.3,1476.4,2.3,1.45,21.15,1529.17,47.39,132.38,693.95,330.72,46.71,12.11,39.35,58.89,54.56,1.17,41.39,7.73,62.81,71.86,30.8,694.62,8761.87,2787.86,102.9,177.69,150.47,0.06,1.35,12.67,11.27,1.88,2020.91,4.98,175.41,290.72,37.08,542.51,457.72,84.78,1177.5,582.92,3.44,400.89,299.29,118.31,510.58,16334.72,142.71,16477.42
2017,Q3,5189.37,4787.57,283.89,41.79,76.12,3976.03,1773.74,1747.41,0.51,1.12,24.7,1568.85,44.35,134.02,698.17,355.65,48.8,12.96,38.91,60.85,55.47,1.28,42.48,6.54,69.37,64.22,27.91,541.31,8594.83,2829.61,153.18,197.78,163.55,0.04,1.51,16.21,13.73,2.74,1702.14,4.2,160.85,217.55,32.72,479.21,417.33,61.88,1207.99,665.06,3.79,369.04,388.21,118.26,447.83,17760.23,228.72,17988.95
2017,Q4,4859.44,4377.46,333.19,49.19,99.61,3817.03,1393.89,1366.25,2.02,0.82,24.8,1647.68,29.96,144.55,739,383.25,50.77,13.78,39.75,58.03,56.91,1.3,46.05,7.58,76.76,103.04,23.28,649.14,9921.6,3109.42,177.39,253.33,215.06,0.06,1.1,17.32,15.29,4.49,2085.76,4.61,179.81,293.01,35.84,527.21,469.59,57.63,1307.13,703.4,3.91,428.92,476.47,124.56,688.25,18598.07,221.59,18819.66
2018,Q1,3487.31,3045.16,292.39,41.36,108.4,3855.58,1548.23,1537.04,2.47,3.94,4.77,1595.56,29.13,148.25,723.94,355.92,52.49,13.08,36.47,58.3,55.75,0.92,40.11,7.67,73.54,32,29.03,650.77,8753.76,2747.17,176.5,241.53,211.7,0.02,0.79,16.48,6.55,5.99,1999.21,5.35,214.69,299.29,47.13,571.13,492.75,78.39,907.59,564.69,3.31,358.5,345.54,112.69,678.76,16096.65,138.3,16234.95
2018,Q2,3789.72,3378.03,283.58,48.01,80.1,3842.93,1443.69,1418.07,2.21,1.56,21.85,1539.57,37.21,137.47,702.37,339.76,47.75,12.82,38.72,59.25,55.26,1.21,39.73,7.51,60.51,77.31,34.49,747.86,8947.86,2728.13,105.4,216.35,185.62,0.06,1.41,15.75,11.27,2.24,2259.56,5.15,171.39,354.44,38.37,549.43,461.42,88.01,1131.76,594.97,3.32,380.01,297.29,118.79,524.47,16580.51,138.12,16718.63
2018,Q3,5288.34,4877.08,291.16,43.34,76.76,3971.66,1723.88,1696.61,0.5,1.31,25.46,1599.04,36.64,144.94,718.42,359.36,49.51,13.23,39.4,61.07,55.99,1.32,42.37,6.28,70.53,75.96,28.55,544.23,8821.34,2857.37,157.26,221.42,183.29,0.04,1.55,20.16,14.21,2.17,1907.89,4.38,160.13,226.28,33.65,456.18,393.67,62.51,1175.66,677.86,3.87,365.54,386.57,117.46,460.63,18081.34,223.78,18305.13
2018,Q4,4978.78,4486.17,341,50.04,101.57,3853.26,1376.68,1344.16,1.64,0.89,30,1686.42,40.03,145.97,755.42,387.99,51.6,14.14,40.35,59.34,58.86,1.3,46.2,7.14,78.07,104.02,23.71,662.43,10209.4,3141.12,181.03,277.34,234.63,0.07,1.12,21.43,15.56,4.53,2361,4.78,180.79,298.91,37.34,517.93,459.59,58.33,1256.85,706.61,3.94,427.54,478.16,123.77,696.78,19041.44,236.2,19277.64
2019,Q1,3597.92,3144.59,294.97,42.27,116.09,3871.8,1527.06,1514.64,3.24,3.01,6.17,1608.46,14.67,152.41,736.65,359.51,53.22,13.35,37.08,60.44,58.18,0.94,40.71,8.69,72.61,34.71,30.12,671.45,8964.84,2770.45,183.83,288.64,257.17,0.02,0.8,17.98,6.69,5.98,2188.81,5.35,217.13,306.26,50.49,527.75,447.34,80.4,916.06,574.48,3.36,307.55,346.17,112.51,694.74,16434.55,135.18,16569.73
2019,Q2,3857.71,3443.61,283.56,49.56,80.98,3952.22,1544.77,1519.8,2.38,1.5,21.09,1537.52,28.34,139.65,710.91,334.93,48.32,13.12,38.23,59.82,56.51,1.24,38.52,7.39,60.55,77.65,39.44,752.83,9121.51,2721.32,108.48,233.71,200.85,0.06,1.4,17.69,11.48,2.23,2463.11,5.39,167.33,365.78,38.68,537.15,445.2,91.95,1088.27,602.16,3.39,367.11,300.16,120.13,537.85,16931.43,144.67,17076.1
2019,Q3,5408.98,4994.73,291.22,44.98,78.05,4099.24,1830.51,1806.75,0.66,1.22,21.89,1616.58,25.37,154.9,739.8,355.32,51.19,13.5,39.45,61.63,56.57,1.33,40.23,6.18,71.13,66.98,28.01,557.15,8985.9,2815.89,160.85,261.81,220.27,0.04,1.57,23.23,14.55,2.15,2096.32,4.51,161.78,228.51,34.62,461.05,396.06,64.99,1148.47,660.13,3.99,367.76,391.17,118.47,465.38,18494.11,203.21,18697.32
2019,Q4,5093.98,4599.07,340.31,50.67,103.94,3959.09,1460.28,1429.67,1.44,0.87,28.31,1707.26,29.74,147.62,775.71,391.92,52.5,13.97,40.72,60.07,60.68,1.31,46.72,6.99,79.32,95.89,24.54,671.11,10474.65,3122.89,184.7,275.12,228.58,0.07,1.14,24.64,16.15,4.55,2561.68,4.93,182.26,305.4,39.15,622.44,562.24,60.2,1213.55,710.53,3.99,427.8,482.16,123.07,707.57,19527.72,223.21,19750.93
2020,Q1,3677.15,3219.51,296.84,42.99,117.82,3959.17,1597.02,1591.25,1.83,2.89,1.05,1615.39,6.93,154.95,744.75,363.21,53.88,13.61,37.29,59.62,58.92,0.92,41.2,8.78,71.32,33.91,30.06,682.79,9105.49,2692.25,178.33,296.78,264.44,0.02,0.8,19,6.59,5.92,2356.23,5.35,217.84,311.8,51.26,637.49,554.72,82.77,872.53,572.26,3.29,280.72,348.56,113.7,702.09,16741.81,151.46,16893.27
2020,Q2,3918.67,3493.04,289.96,50.09,85.58,3476.09,1442.81,1419.04,2.63,1.39,19.75,1402.57,9.16,131.92,689.55,286.58,43.14,9.42,39.68,46.19,50.43,0.89,35.81,7.91,51.89,75.32,41.69,513.69,8503.18,2269.99,64.89,118.65,97.67,0.02,1,7.54,10.2,2.22,2834.91,4.4,159.63,397.91,35.22,636.49,571.69,64.8,848.91,509.35,3.31,374.51,227.75,122.4,456.8,15897.93,146.58,16044.51
2020,Q3,5484.06,5063.61,297.89,46.13,76.44,3848.24,1588.52,1555.77,0.57,1.14,31.04,1592.21,8.04,173.42,781.01,312.24,48.57,12.53,42.05,54.09,52.63,1.06,38.08,6.62,61.86,64.53,30,572.98,8492.18,2474.5,124.48,149.28,117.54,0.02,1.3,14.2,14.05,2.17,2401.46,4.25,164.39,235.9,33,475.84,422.98,52.86,994.52,592.06,3.94,380.9,310.04,121.81,430.33,17824.48,285.11,18109.6
2020,Q4,5268.29,4768.37,348.42,51.3,100.2,3670.22,1191.05,1147.14,1.1,0.79,42.02,1681.42,12.93,157.34,792.35,370.18,50.84,13.34,40.4,54.11,60.82,1.16,44.88,7.13,75.94,93.48,25.01,679.25,10611.64,3022.96,156.93,258.75,225.45,0.06,1,11.9,15.71,4.62,2944.55,4.81,186.84,318.89,38.55,599.87,548.27,51.59,1247.63,671.92,3.78,435.52,427.04,126.83,677.33,19550.15,203.02,19753.16
2021,Q1,3760.88,3293.95,301.75,43.54,121.64,3996.32,1562.06,1556.07,1.85,3.72,0.42,1670.39,2.97,172.31,797.69,346.76,52.61,13.58,38.75,61.34,59.91,0.88,40.53,9.07,73.99,36.84,34.5,692.52,9069.69,2626.86,170.12,231.81,201.64,0.02,0.75,16.76,6.56,6.07,2508.64,5.28,222.65,319.44,50.68,634.54,555.57,78.98,887.93,550.3,3.27,278.24,326.94,118.98,681.36,16826.89,135.62,16962.51
2021,Q2,3969.7,3541.21,290.34,50.63,87.52,3433.35,1265.56,1239.46,3.52,1.69,20.88,1451.51,4.88,137.05,723.16,291.6,43.18,9.54,43.34,47.62,51.48,0.91,36.33,8.29,54.15,134.19,49.4,532.69,9291.62,2780.51,66.17,209.79,187.9,0.03,1.01,7.91,10.62,2.3,2992.38,4.5,167.64,413.19,35.65,620.72,545.76,74.96,881.57,515.84,3.47,368.21,229.2,128.42,459.7,16694.67,209.57,16904.24
2021,Q3,5550.94,5132.24,298.26,47.04,73.4,3785.55,1420.85,1388.8,0.54,1.77,29.74,1660.56,4.2,183.27,828.39,315.47,49.23,12.74,46.27,56.21,54.63,1.09,38.93,6.94,63.18,73.8,33.89,596.45,9206.57,2769.06,127.08,180.04,142.35,0.03,1.51,18.93,14.96,2.26,2633.48,4.36,170.04,245.13,34.22,586.38,530.82,55.55,1017.59,598.66,4.07,380.34,314.29,127.89,433.47,18543.05,302.86,18845.92
2021,Q4,5456.9,4953.12,349.86,52.02,101.89,3668.56,1117.73,1054.72,1.8,1.16,60.06,1719.79,7.25,165.98,830.72,361.42,48.38,12.89,44.02,56.15,60.99,1.18,45.47,7.42,77.92,96.08,32.23,702.73,11203.61,3184.46,158.92,335.66,293.96,0.08,1.15,19.41,16.31,4.74,3092.56,4.97,192.37,331.9,40.21,744.65,686.4,58.25,1265.99,682.02,3.88,440.44,433.12,133.34,688.37,20329.06,341.05,20670.11
2022,Q1,3879.73,3391.63,318.5,44.14,125.46,3724.28,1157.69,1150.85,1.61,4.87,0.36,1768.82,1.66,188.81,875.93,342.48,53.81,13.38,42.75,63.52,60.12,0.84,39.93,9.53,76.07,32.72,39.06,726,9745.37,2798.78,173.41,191.45,151.97,0.04,0.8,25.26,7.11,6.26,2811.32,5.45,229.67,330.47,51.85,781.98,696.87,85.11,927.32,560.47,3.39,283.59,333.06,126.01,702.74,17349.38,223.89,17573.27
2022,Q2,4017.42,3595.83,282.02,51.28,88.3,3354.31,1125.17,1093.61,4.8,1.26,25.51,1495.12,2.82,143.74,760.08,283.34,44.41,9.7,47.37,49.24,53.01,0.92,37.31,7.63,55.55,118.79,61.12,554.11,9914.15,2905.99,68.17,318.16,293.85,0.02,1.04,9.69,11.14,2.42,3188.31,4.66,157.57,433.43,35.69,735.4,655.22,80.18,920.49,525.94,3.54,375.59,231.85,131.28,473.72,17285.88,192.34,17478.22
2022,Q3,5625.36,5200.73,302.9,48.07,73.67,3482.78,1118.13,1073.9,0.31,2.41,41.52,1628.91,2.32,190.85,794.84,302.9,50.31,12.21,51.4,58.46,52.48,1.12,40.1,7.13,64.79,71.18,35.21,629.36,9851.81,2909.77,135.68,254.93,213.08,0.02,1.8,21.69,15.96,2.38,2910.89,4.88,208.15,261.26,36.88,660.84,594.68,66.16,1064.03,611.99,4.23,389.18,317.74,133.75,421.89,18959.95,334.06,19294.01
2022,Q4,5568.55,5072.56,344.31,52.87,98.81,3634.21,990.44,913.55,1.48,1.13,74.28,1768.54,4.41,172.44,871.8,357.19,47.36,12.73,47.13,58.49,61.8,1.23,46.28,7.74,79.94,110.71,35.06,729.46,11841.49,3329.16,167.05,338.28,291.97,0.09,1.39,22.9,16.93,4.99,3412.53,5.19,201.14,354.83,43.24,831.13,771.59,59.53,1301.22,701.92,3.99,446.76,438.46,138.94,688.81,21044.25,379.19,21423.44